Title,Year,Age,IMDB,Rotten Tomatoes
Atlanta,2016,18+,8.6,97%
The Shield,2002,18+,8.7,90%
Normal People,2020,,8.8,83%
The Office,2001,16+,8.5,96%
Black Books,2000,7+,8.5,100%
Naruto Shippūden,2007,7+,8.6,
09-01-2001,2018,16+,7.7,81%
Misfits,2009,18+,8.2,92%
Veronica Mars,2004,16+,8.3,92%
11.22.63,2016,18+,8.2,80%
Frasier,1993,7+,8,93%
Line of Duty,2012,18+,8.6,97%
Bones,2005,16+,7.8,90%
Steins;Gate,2011,16+,8.8,100%
The Killing,2011,18+,8.2,69%
The Good Doctor,2017,16+,8.2,
Preacher,2016,18+,8,87%
The Orville,2017,16+,8,65%
Peep show,2003,18+,8.6,96%
Desperate Housewives,2004,7+,7.4,72%
RuPaul's Drag Race,2009,16+,8.5,83%
Battlestar Galactica,2004,16+,8.6,82%
Over the Garden Wall,2014,7+,8.8,88%
Revenge,2011,16+,7.8,69%
Tokyo Ghoul,2014,18+,7.9,100%
Superstore,2015,16+,7.8,92%
Lie to Me,2009,16+,8,78%
One Piece,1999,7+,8.7,
Spaced,1999,18+,8.6,100%
12 Monkeys,2015,16+,7.7,88%
Blue Bloods,2010,16+,7.5,91%
Devs,2020,18+,7.8,81%
The Rookie,2018,16+,8.1,68%
DAVE,2020,18+,8.4,62%
Younger,2015,16+,7.8,99%
Food Wars! Shokugeki no Soma,2015,18+,8.3,
Smallville,2001,7+,7.4,78%
Dirk Gently's Holistic Detective Agency,2016,16+,8.3,85%
Broad City,2014,18+,8.4,99%
Workaholics,2011,18+,8.1,86%
Dead Like Me,2003,16+,8.1,87%
Nathan For You,2013,16+,8.8,97%
Angel,1999,7+,7.9,88%
Timeless,2016,7+,7.7,91%
Castle Rock,2018,18+,7.6,87%
Fresh Off the Boat,2015,7+,7.8,94%
You're the Worst,2014,18+,8.1,95%
The Affair,2014,18+,7.9,86%
Elfen Lied,2004,18+,8,100%
The Last Ship,2014,16+,7.5,83%
Everybody Hates Chris,2005,7+,7.4,95%
Raising Hope,2010,16+,8,96%
Boston Legal,2004,16+,8.4,86%
Cowboy Bebop,1998,18+,8.9,
The Terror,2018,18+,8,87%
Stargate SG-1,1997,7+,8.4,
Future Man,2017,18+,7.8,91%
Inside No. 9,2014,18+,8.5,100%
Zoey's Extraordinary Playlist,2020,16+,8.1,74%
The Strain,2014,18+,7.3,79%
The Venture Bros.,2004,18+,8.5,92%
Demon Slayer: Kimetsu no Yaiba,2019,18+,8.8,
The League,2009,18+,8.2,81%
Parenthood,2010,7+,8.2,88%
Samurai Champloo,2004,18+,8.5,88%
Mrs. America,2020,18+,7.5,96%
Marvel's Runaways,2017,16+,7,87%
Please Like Me,2013,18+,8.5,100%
My Name Is Earl,2005,16+,7.7,82%
Little Fires Everywhere,2020,18+,7.7,77%
The Act,2019,18+,8,89%
Dollhouse,2009,16+,7.7,72%
Southland,2009,16+,8.4,87%
Dragon Ball,1986,16+,8.5,
Damages,2007,18+,8.1,91%
Looking for Alaska,2019,18+,8.1,92%
American Dad!,2005,16+,7.3,
Legend of the Seeker,2008,16+,7.6,42%
The Exorcist,2016,16+,8.1,89%
Awkward.,2011,16+,7.5,78%
Brockmire,2017,18+,8.1,98%
High Fidelity,2020,18+,7.6,85%
Better Things,2016,7+,7.7,97%
Happy Endings,2011,16+,7.7,78%
Fear the Walking Dead,2015,18+,6.9,73%
TRIGUN,1998,7+,8.3,100%
In the Flesh,2013,18+,8,97%
The Bridge,2011,18+,8.6,
Chicago P.D.,2014,16+,8.1,
Better Off Ted,2009,7+,8.2,89%
The Gifted,2017,16+,7.4,79%
Lethal Weapon,2016,16+,7.9,89%
The Last Man on Earth,2015,16+,7.3,84%
Chicago Fire,2012,16+,7.9,
Sleepy Hollow,2013,16+,7.4,77%
Rescue Me,2004,18+,8.3,89%
Horace and Pete,2016,18+,8.5,96%
Snowfall,2017,18+,8,81%
Shadowhunters,2016,16+,6.6,76%
Top of the Lake,2013,18+,7.5,82%
Prime Suspect,1991,18+,8.4,100%
Deutschland,2015,18+,8.1,94%
Rizzoli & Isles,2010,16+,7.6,72%
Stargate Universe,2009,16+,7.6,70%
Key & Peele,2012,18+,8.3,97%
The Mighty Boosh,2004,16+,8.3,100%
Blindspot,2015,16+,7.4,
Stumptown,2019,16+,7.5,92%
The Mindy Project,2012,16+,7.4,86%
Empire,2015,16+,7.4,84%
Quantum Leap,1989,7+,8.1,
The Librarians,2014,16+,7.3,89%
The Middle,2009,7+,7.5,
The Resident,2018,16+,7.6,
Manifest,2018,16+,7.2,57%
Saturday Night Live,1975,16+,8.1,
Survivor,2000,7+,7.2,
Nip/Tuck,2003,18+,7.6,75%
New Amsterdam,2018,16+,8.1,34%
Hellsing Ultimate,2006,18+,8.3,80%
Steven Universe,2013,7+,8.2,
Drake & Josh,2004,7+,7.7,
Ugly Betty,2006,7+,6.5,97%
black-ish,2014,7+,7.1,91%
Marvel's Cloak & Dagger,2018,16+,6.7,87%
Wilfred,2011,18+,7.8,83%
Catch-22,2019,18+,7.8,84%
Stargate Atlantis,2004,7+,8.1,
M*A*S*H,1972,7+,8.4,
Invader Zim,2001,7+,8.3,100%
For Life,2020,16+,7.5,86%
Wayward Pines,2015,16+,7.4,61%
Sailor Moon,1992,16+,7.7,90%
Home Movies,1999,7+,8,100%
Mr Inbetween,2018,18+,8.3,95%
Mayans M.C.,2018,18+,7.5,86%
The Unit,2006,16+,8.1,84%
